,square,space_H,space_W,square_H,square_W,margin_H,margin_W,amount_sq_H,amount_sq_W,h,w,busbar_width,coverage [%],amount of ptc elements,square/aspect-ratio
114,0.088,4.2,3.5999999999999996,0.5,5.7,1.7,7.0,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
115,0.088,4.2,3.8999999999999995,0.5,5.7,1.7,6.85,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
116,0.088,4.2,4.2,0.5,5.7,1.7,6.7,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
117,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
118,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
119,0.088,4.2,3.3,0.5,5.7,1.7,7.15,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
120,0.088,4.2,3.5999999999999996,0.5,5.7,1.7,7.0,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
121,0.088,4.2,3.8999999999999995,0.5,5.7,1.7,6.85,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
122,0.088,4.2,4.2,0.5,5.7,1.7,6.7,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
123,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
124,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
125,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
126,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
127,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
128,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
129,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
130,0.088,4.2,4.2,0.5,5.7,1.7,6.7,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
131,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
132,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
133,0.088,4.2,3.8999999999999995,0.5,5.7,1.7,6.85,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
134,0.088,4.2,4.2,0.5,5.7,1.7,6.7,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
135,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
136,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
137,0.088,4.2,3.8999999999999995,0.5,5.7,1.7,6.85,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
138,0.088,4.2,4.2,0.5,5.7,1.7,6.7,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
139,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
140,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
141,0.088,4.2,3.5999999999999996,0.5,5.7,1.7,7.0,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
142,0.088,4.2,3.8999999999999995,0.5,5.7,1.7,6.85,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
143,0.088,4.2,4.2,0.5,5.7,1.7,6.7,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
144,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
145,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
146,0.088,4.2,3.3,0.5,5.7,1.7,7.15,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
147,0.088,4.2,3.5999999999999996,0.5,5.7,1.7,7.0,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
148,0.088,4.2,3.8999999999999995,0.5,5.7,1.7,6.85,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
149,0.088,4.2,4.2,0.5,5.7,1.7,6.7,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
150,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
151,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
152,0.088,4.2,3.3,0.5,5.7,1.7,7.15,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
153,0.088,4.2,3.5999999999999996,0.5,5.7,1.7,7.0,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
154,0.088,4.2,3.8999999999999995,0.5,5.7,1.7,6.85,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
